/diseases/search?disease='fabio' [GET, 400, testclient, 2022-03-14 22:48:46.969398, 0.001s, 86B]
/diseases/search/outbreaks?location='AU' [GET, 400, testclient, 2022-03-14 22:48:46.980337, 0.001s, 93B]
/diseases/search/outbreaks?location='123' [GET, 400, testclient, 2022-03-14 22:48:46.992339, 0.001s, 93B]
/diseases/search/outbreaks?location='fabio' [GET, 400, testclient, 2022-03-14 22:48:47.005280, 0.002s, 93B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:49:43.866691, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 500, testclient, 2022-03-14 22:49:43.876693, 0.0008s, 35B]
/diseases/search?disease='123' [GET, 500, testclient, 2022-03-14 22:49:44.060230, 0.002s, 35B]
/diseases/search?disease='fabio' [GET, 500, testclient, 2022-03-14 22:49:44.072231, 0.001s, 35B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:50:52.912765, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 500, testclient, 2022-03-14 22:50:52.921745, 0.002s, 35B]
/diseases/search?disease='123' [GET, 500, testclient, 2022-03-14 22:50:53.110226, 0.002s, 35B]
/diseases/search?disease='fabio' [GET, 500, testclient, 2022-03-14 22:50:53.120200, 0.001s, 35B]
/diseases/search/outbreaks?location='AU' [GET, 500, testclient, 2022-03-14 22:50:53.134166, 0.001s, 35B]
/diseases/search/outbreaks?location='123' [GET, 500, testclient, 2022-03-14 22:50:53.148125, 0.001s, 35B]
/diseases/search/outbreaks?location='fabio' [GET, 500, testclient, 2022-03-14 22:50:53.158099, 0.001s, 35B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:51:17.345588, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 500, testclient, 2022-03-14 22:51:17.354564, 0.002s, 35B]
/diseases/search?disease='123' [GET, 500, testclient, 2022-03-14 22:51:17.537142, 0.001s, 35B]
/diseases/search?disease='fabio' [GET, 500, testclient, 2022-03-14 22:51:17.549488, 0.001s, 35B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:51:18.323610, 0.7621s, 68B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:51:18.369479, 0.0299s, 68B]
/diseases/search/outbreaks?location='fabio' [GET, 404, testclient, 2022-03-14 22:51:18.403388, 0.0239s, 68B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:53:18.912889, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:53:19.552052, 0.6302s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:53:19.779369, 0.0448s, 65B]
